"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Info"
"9","0.171206556","10.43.1.228","117.18.237.29","TCP","66","48530","80","48530  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007437570 TSecr=2483912061"
"10","0.171371246","117.18.237.29","10.43.1.228","TCP","66","80","48530","[TCP ACKed unseen segment] 80  >  48530 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2483922251 TSecr=1007427386"
"17","0.299272110","10.43.1.228","52.40.41.239","TCP","66","36002","443","36002  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2440102320 TSecr=3657118093"
"18","0.299380765","52.40.41.239","10.43.1.228","TCP","66","443","36002","[TCP ACKed unseen segment] 443  >  36002 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=3657128103 TSecr=2440092306"
"54","0.939197533","10.43.1.228","99.86.47.82","TCP","66","60150","443","60150  >  443 [ACK] Seq=1 Ack=1 Win=1458 Len=0 TSval=773068229 TSecr=2822981634"
"55","0.939538446","99.86.47.82","10.43.1.228","TCP","66","443","60150","[TCP ACKed unseen segment] 443  >  60150 [ACK] Seq=1 Ack=2 Win=934 Len=0 TSval=2822991664 TSecr=773058198"
"122","2.219177927","10.43.1.228","124.124.201.170","TCP","66","54068","80","54068  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1713267773 TSecr=3326322138"
"123","2.219347013","124.124.201.170","10.43.1.228","TCP","66","80","54068","[TCP ACKed unseen segment] 80  >  54068 [ACK] Seq=1 Ack=2 Win=1019 Len=0 TSval=3326332338 TSecr=1713247571"
"197","2.731176094","10.43.1.228","124.124.201.170","TCP","66","54070","80","54070  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1713268285 TSecr=1056674106"
"198","2.731333154","124.124.201.170","10.43.1.228","TCP","66","80","54070","[TCP ACKed unseen segment] 80  >  54070 [ACK] Seq=1 Ack=2 Win=1019 Len=0 TSval=1056684346 TSecr=1713247969"
"379","4.267117873","10.43.1.228","117.18.237.29","TCP","66","48512","80","48512  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007441666 TSecr=4171327676"
"380","4.267139743","10.43.1.228","117.18.237.29","TCP","66","48510","80","48510  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007441666 TSecr=2798277147"
"381","4.267218948","117.18.237.29","10.43.1.228","TCP","66","80","48512","[TCP ACKed unseen segment] 80  >  48512 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=4171337846 TSecr=1007421490"
"382","4.267242511","117.18.237.29","10.43.1.228","TCP","66","80","48510","[TCP ACKed unseen segment] 80  >  48510 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2798287387 TSecr=1007421410"
"395","4.523109945","10.43.1.228","13.35.130.75","TCP","66","49586","443","49586  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3043887768 TSecr=2328246619"
"396","4.523129674","10.43.1.228","172.217.161.3","TCP","66","55504","80","55504  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3081619746 TSecr=625139735"
"397","4.523206950","13.35.130.75","10.43.1.228","TCP","66","443","49586","[TCP ACKed unseen segment] 443  >  49586 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=2328256769 TSecr=3043867614"
"398","4.523225383","172.217.161.3","10.43.1.228","TCP","66","80","55504","[TCP ACKed unseen segment] 80  >  55504 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=625149885 TSecr=3081599597"
